time	RMSD_R1	RMSD_R2	RMSD_R3
43.8	6.72	5.01	5.4
43.9	6.15	5.4	5.06
44.0	6.78	5.2	4.94
44.1	7.58	5.19	6.3
44.2	8.09	5.2	7.34
44.3	8.02	5.17	7.14
44.4	8.99	4.98	7.55
44.5	8.32	4.63	8.27
44.6	8.32	4.89	6.6
44.7	7.15	5.23	7.75
44.8	7.9	4.94	6.89
44.9	8.9	5.29	6.99
45.0	8.27	4.99	7.46
45.1	7.59	5.17	7.94
45.2	7.19	5.5	7.35
45.3	7.11	5.53	6.18
45.4	7.1	5.62	7.46
45.5	7.17	5.45	7.48
45.6	7.1	5.67	7.28
45.7	7.49	5.83	6.51
45.8	6.97	5.59	6.13
45.9	6.8	5.7	5.82
46.0	7.0	5.57	5.47
46.1	7.25	5.5	4.95
46.2	7.98	5.28	5.44
46.3	7.92	5.98	5.0
46.4	8.01	5.61	5.78
46.5	7.53	5.5	6.35
46.6	8.34	5.6	6.4
46.7	7.38	6.33	7.06
46.8	7.13	5.33	8.01
46.9	6.28	6.27	7.55
47.0	6.67	6.2	7.89
47.1	6.79	5.4	8.36
47.2	7.5	5.25	8.69
47.3	8.26	4.64	8.63
47.4	6.99	4.75	7.55
47.5	7.72	4.21	6.88
47.6	7.03	4.7	7.54
47.7	7.88	4.86	8.09
47.8	8.29	5.21	8.64
47.9	7.8	4.87	8.89
48.0	8.5	4.79	7.77
48.1	7.98	4.76	8.53
48.2	7.58	5.08	8.29
48.3	7.1	4.88	7.81
48.4	8.2	4.98	8.2
48.5	8.64	5.05	5.87
48.6	7.7	4.4	5.02
48.7	8.7	4.66	4.34
48.8	8.63	5.11	5.24
48.9	7.86	5.08	5.37
49.0	7.24	5.06	4.8
49.1	8.24	5.21	4.74
49.2	8.59	4.94	4.93
49.3	8.72	4.83	5.14
49.4	8.26	5.35	5.74
49.5	9.05	5.21	5.44
49.6	8.99	4.96	5.59
49.7	9.2	5.07	5.59
49.8	8.28	5.43	5.29
49.9	8.91	5.32	6.46
50.0	9.49	5.7	5.37
50.1	8.9	5.41	5.43
50.2	9.4	5.76	5.04
50.3	8.51	5.46	5.0
50.4	9.21	5.26	5.13
50.5	8.78	5.85	5.07
50.6	8.73	5.65	5.03
50.7	8.76	4.95	4.82
50.8	7.8	5.12	6.09
50.9	6.71	5.29	4.3
51.0	6.97	5.32	4.65
51.1	6.48	4.62	5.43
51.2	6.23	5.29	5.51
51.3	6.23	5.6	6.38
51.4	6.26	6.29	6.42
51.5	6.45	5.23	5.81
51.6	5.67	5.4	4.35
51.7	5.83	4.89	4.35
51.8	5.67	5.39	5.43
51.9	5.16	5.21	4.85
52.0	5.72	5.17	5.6
